net,length_um
_0230_,38.12
cam_mod_01.camera_init_01.sender.count\[15\],37.82
_0529_,37.74
cam_mod_01.camera_init_01.sender.count\[1\],37.38
net47,37.32
_0682_,36.66
_0572_,36.54
_0811_,36.36
_0359_,36.34
_0123_,36.14
cam_mod_01.camera_init_01.data_send\[2\],36.14
_0447_,36
_0199_,35.54
_0117_,35.38
_0838_,35.065
cam_mod_01.camera_init_01.init.count\[5\],34.53
_0350_,34.52
vga_display_01.control.y_poi\[9\],34.5
_0637_,34.46
_0517_,34.42
_0890_,34.38
vga_display_01.control.x_poi\[7\],34.24
_0561_,34.22
_0581_,34.1
vga_display_01.control.y_poi\[10\],34.06
cam_mod_01.camera_init_01.init.count\[7\],33.94
_0612_,33.78
_0161_,33.62
_0390_,33.42
_0259_,33.32
_0789_,33.06
_0368_,33.05
_0792_,32.82
cam_mod_01.camera_init_01.sender.count\[16\],32.8
cam_mod_01.camera_init_01.sender.count\[7\],32.62
cam_mod_01.camera_init_01.sender.count\[12\],32.555
vga_display_01.control.y_poi\[6\],32.54
_0166_,31.64
_0726_,31.5
_0883_,31.38
cam_mod_01.camera_init_01.sender.count\[4\],31.32
_0729_,31.2
_0884_,31.2
_0080_,31.125
vga_display_01.control.y_poi\[1\],31.09
cam_mod_01.camera_init_01.sender.count\[18\],30.8
vga_display_01.control.y_poi\[0\],30.7
_0840_,30.56
_0441_,30.44
_0879_,30.38
cam_mod_01.camera_init_01.data_send\[0\],30.3
_0378_,30.14
_0684_,30.14
_0805_,29.98
_0623_,29.74
_0807_,29.66
_0801_,29.62
_0809_,29.58
_0491_,29.52
vga_display_01.control.x_poi\[5\],29.22
_0482_,29.04
_0831_,29.02
_0494_,28.8
_0893_,28.8
_0331_,28.53
cam_mod_01.camera_init_01.sender.count\[17\],28.51
_0112_,28.5
_0211_,28.36
_0764_,28.04
vga_display_01.control.x_poi\[0\],28.04
_0557_,27.9
vga_display_01.control.y_poi\[7\],27.9
